,question,answer
60,"A waiter at ' The Greasy Spoon ' restaurant had number0 customers to wait on . During the lunch rush he added another number1 customers . If number2 of the customers did n't leave him a tip , how many customers did leave a tip ?","The waiter initially had 29 customers to wait on. During the lunch rush, he added another 20 customers. So, the total number of customers he had to serve is 29 + 20 = <<29 + 20 = 49>> 49.

Out of these 49 customers, 34 did not leave him a tip. To find out how many customers did leave a tip, we can subtract the number of customers who didn't leave a tip from the total number of customers.

Therefore, the number of customers who left a tip is 49 - 34 = <<49 - 34 = 15>> 15.

#### 15"
61,Lillian collects number0 candies . Lillian 's father gives Lillian number1 more . How many candies does Lillian have ?,"Lillian starts with 88 candies. Her father gives her 5 more candies. To find out how many candies Lillian has in total, we can add the number of candies she started with to the number of candies her father gave her.

Starting with 88 candies, we add the 5 candies given by her father:

 88 + 5 = << 88 + 5 = 93 >> 93 

Therefore, Lillian has a total of 93 candies.

#### 93"
62,It rained number0 inches on Saturday and number1 inches on Sunday . How much did it rain on Saturday and Sunday combined ?,"To find the total amount of rain that fell on Saturday and Sunday combined, we need to add the amounts of rain that fell on each day.

Given:
Amount of rain on Saturday = 0.2 inches
Amount of rain on Sunday = 0.4 inches

To find the total amount of rain, we can add these two values:

 0.2 + 0.4 = << 0.2 + 0.4 = 0.6 >> 0.6 

Therefore, it rained a total of 0.6 inches on Saturday and Sunday combined.
#### 0.6"
63,Anthony has number0 pencils . Kathryn gives Anthony number1 more . How many pencils does Anthony have in all ?,"To find out how many pencils Anthony has in all, we need to add the number of pencils he initially had with the number of pencils Kathryn gave him.

Anthony initially has 9 pencils.
Kathryn gives him 56 more pencils.

To find the total number of pencils, we can add these two quantities:

9 + 56 = <<9 + 56 = 65>> 65

Therefore, Anthony has a total of 65 pencils.

#### 65"
64,"A florist had number0 roses . If she sold number1 of them and then later picked number2 more , how many roses would she have ?","The florist initially had 37 roses. She sold 16 of them, so the number of roses she had left is given by subtracting 16 from 37: 37 - 16 = <<37 - 16 = 21>> 21.

Later, the florist picked 19 more roses. To find out how many roses she would have in total, we need to add the number of roses she had left (21) and the number of roses she picked (19): 21 + 19 = <<21 + 19 = 40>> 40.

Therefore, the florist would have a total of 40 roses.

#### 40"
65,There are number0 short bushes and number1 tall trees currently in the park . Park workers will plant number2 short bushes today . How many short bushes will the park have when the workers are finished ?,"To find the total number of short bushes in the park after the workers are finished planting, we need to add the number of short bushes currently in the park to the number of short bushes that will be planted today.

Currently, there are 37 short bushes in the park.
The workers will plant 20 short bushes today.

To find the total number of short bushes after planting, we can add these two quantities:

37 + 20 = <<37 + 20 = 57>> 57

Therefore, the park will have 57 short bushes when the workers are finished.

#### 57"
66,The Sumata family took a number0 day vacation by car . Each day they drove number1 miles . How many total miles did they drive ?,"To find the total miles the Sumata family drove during their 5-day vacation, we can multiply the number of days by the number of miles they drove each day.

Number of days: 5
Number of miles driven each day: 250

To calculate the total miles, we can use the formula:

Total miles = Number of days * Number of miles driven each day

Substituting the given values into the formula:

Total miles = 5 * 250

Calculating this expression:

Total miles = 5 * 250 = <<5 * 250 = 1250>> 1250

Therefore, the Sumata family drove a total of 1250 miles during their 5-day vacation.
#### 1250"
67,Emily was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points . How many points did she have at the end of the game ?,"Sure, I'd be happy to help you with that math question!

To find out how many points Emily had at the end of the game, we can start by adding up her scores from the first two rounds. 

First round score: 16 points
Second round score: 33 points

To get the total score after the first two rounds, we can add these two numbers together:

 16 + 33 = << 16 + 33 = 49 >> 49 

So, at the end of the second round, Emily had a total score of 49 points.

Now, we need to subtract the points she lost in the last round. Emily lost 48 points, so we can subtract that from her total score after the second round:

 49 - 48 = << 49 - 48 = 1 >> 1 

Therefore, at the end of the game, Emily had 1 point.

#### 1"
68,"Katie had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?","Katie initially had 11 songs on her mp3 player. She then deleted 7 old songs, which means she subtracted 7 from the initial number of songs: 11 - 7 = <<11 - 7 = 4>> 4. After deleting the old songs, she added 24 new songs to her mp3 player. Adding the new songs to the remaining 4 songs gives us: 4 + 24 = <<4 + 24 = 28>> 28. Therefore, Katie has a total of 28 songs on her mp3 player.

#### 28"
69,Maria needs number0 cartons of berries to make a berry cobbler . She already has number1 cartons of strawberries and number2 cartons of blueberries . How many more cartons of berries should Maria buy ?,"To find out how many more cartons of berries Maria should buy, we need to subtract the number of cartons she already has from the total number of cartons she needs.

Maria already has 4 cartons of strawberries and 8 cartons of blueberries. So, the total number of cartons she already has is 4 + 8 = <<4 + 8 = 12>> 12.

Maria needs a total of 21 cartons of berries. To find out how many more cartons she should buy, we subtract the number of cartons she already has from the total number she needs: 21 - 12 = <<21 - 12 = 9>> 9.

Therefore, Maria should buy 9 more cartons of berries.

#### 9"
70,Nancy found number0 seashells and number1 starfish on the beach . She gave number2 of the seashells to Jason . How many seashells does Nancy now have ?,"Nancy initially had 35 seashells. She then gave 17 of them to Jason. To find out how many seashells Nancy now has, we can subtract the number of seashells she gave away from the initial number she had.

35 - 17 = <<35 - 17 = 18>> 18

Therefore, Nancy now has 18 seashells.

#### 18"
71,There are number0 pencils in a box . Eric takes number1 pencils . How many are left ?,"To find out how many pencils are left after Eric takes 4 pencils, we need to subtract 4 from the initial number of pencils in the box, which is 79.

 79 - 4 = << 79 - 4 = 75 >> 75 

Therefore, there are 75 pencils left in the box.

#### 75"
72,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?","To find the total number of birds in the pet store, we need to calculate the number of birds in each cage and then multiply it by the total number of cages.

In each cage, there are 2 parrots and 7 parakeets. So, the total number of birds in each cage is 2 + 7 = <<2 + 7 = 9>> 9.

Since there are 6 bird cages in the pet store, we can multiply the number of birds in each cage by the total number of cages: 9 * 6 = <<9 * 6 = 54>> 54.

Therefore, the pet store has a total of 54 birds.

#### 54"
73,"If Benjamin strolled number0 miles at number1 miles per hour , how long was Benjamin travelling ?","To find the time Benjamin was traveling, we can use the formula:

Time = Distance / Speed

Given that Benjamin strolled 14 miles at a speed of 2 miles per hour, we can substitute these values into the formula:

Time = 14 miles / 2 miles per hour

Simplifying this expression, we have:

Time = 7 hours

Therefore, Benjamin was traveling for 7 hours.

#### 7"
74,"Each chocolate bar in a box cost number0 . If a box had number1 bars total and Vanessa sold all but number2 bars , how much money would she have made ?","To find out how much money Vanessa would have made, we need to calculate the total cost of the chocolate bars she sold.

The cost of each chocolate bar is <<4, and she sold all but 7 bars. So, the number of bars she sold is 11 - 7 = 4.

To calculate the total cost, we multiply the number of bars sold by the cost per bar: 4 * >>4 = <<16.

Therefore, Vanessa would have made >>16. 

#### 16"
